socks5://138.199.25.13:3904,SG,Unknown
socks5://138.199.25.13:3909,SG,Unknown
socks5://47.236.20.209:1145,SG,Unknown
socks5://213.35.110.67:10819,SG,Unknown
socks5://213.35.110.67:10850,SG,Kampong Loyang
socks5://146.235.19.84:10850,SG,Unknown
socks5://213.35.110.67:10872,SG,Unknown
socks5://213.35.110.67:10810,SG,Unknown
socks5://213.35.110.67:10809,SG,Unknown
socks5://213.35.110.67:10907,SG,Unknown
socks5://213.35.110.67:10801,SG,Unknown
socks5://146.235.19.84:10846,SG,Unknown
socks5://213.35.110.67:10814,SG,Unknown
socks5://146.235.19.84:10864,SG,Unknown
socks5://146.235.19.84:10919,SG,Unknown
socks5://213.35.110.67:10864,SG,Unknown
socks5://146.235.19.84:10811,SG,Unknown
socks5://213.35.110.67:10880,SG,Unknown
socks5://146.235.19.84:10880,SG,Unknown
socks5://213.35.110.67:10811,SG,Unknown
socks5://213.35.110.67:10852,SG,Unknown
socks5://213.35.110.67:10805,SG,Unknown
socks5://213.35.110.67:10837,SG,Unknown
socks5://146.235.19.84:10855,SG,Unknown
socks5://8.219.216.82:5555,SG,Unknown
socks5://146.235.19.84:10889,SG,Unknown
socks5://213.35.110.67:10806,SG,Unknown
socks4://152.42.201.82:1080,SG,Unknown
http://128.199.207.200:443,SG,Unknown
http://51.79.173.71:443,SG,Unknown
http://154.26.139.232:443,SG,Unknown
http://128.199.195.19:8888,SG,Unknown
http://23.106.249.34:21125,SG,Unknown
http://23.106.249.54:6550,SG,Unknown
http://23.106.249.52:2569,SG,Unknown
http://165.225.113.220:11717,SG,Unknown
http://165.225.113.220:11263,SG,Unknown
http://165.225.113.220:10227,SG,Unknown
http://165.225.113.220:11680,SG,Unknown
http://165.225.113.220:11657,SG,Unknown
http://165.225.113.220:11677,SG,Unknown
http://165.225.113.220:11273,SG,Unknown
http://165.225.113.220:11711,SG,Unknown
http://165.225.113.220:11644,SG,Unknown
http://165.225.113.220:11698,SG,Unknown
http://139.162.16.201:443,SG,Unknown
http://165.225.113.220:11745,SG,Unknown
http://165.225.113.220:11730,SG,Unknown
http://165.225.113.220:11011,SG,Unknown
http://165.225.113.220:11719,SG,Unknown
http://165.225.113.220:11748,SG,Unknown
http://165.225.113.220:11727,SG,Unknown
http://165.225.113.220:11694,SG,Unknown
http://165.225.113.220:11726,SG,Unknown
http://8.213.151.128:3128,SG,
http://103.210.22.17:3128,SG,Unknown
http://103.253.145.138:6980,SG,Unknown
http://45.77.246.231:80,SG,Unknown
http://194.233.73.36:8080,SG,Singapore
socks4://43.163.124.13:20000,SG,Singapore
http://188.239.43.6:80,SG,Singapore
http://206.238.236.180:80,SG,Singapore
socks4://104.248.151.220:57554,SG,Singapore
http://8.219.77.141:80,SG,
