http://103.156.74.251:8180,ID,Unknown
http://103.153.63.188:8080,ID,Unknown
http://103.68.214.136:8080,ID,Unknown
http://103.156.15.105:1111,ID,Unknown
http://103.166.159.235:8080,ID,Unknown
http://103.76.108.137:1111,ID,Unknown
http://103.160.68.201:8085,ID,Unknown
http://103.82.93.98:3128,ID,Unknown
http://103.18.78.250:1111,ID,Unknown
http://103.193.145.22:8082,ID,Unknown
http://103.156.75.243:3125,ID,Unknown
http://103.125.118.172:3125,ID,Unknown
http://103.132.53.226:1111,ID,Unknown
http://103.190.60.29:9090,ID,Unknown
http://103.177.199.111:1111,ID,Unknown
http://103.231.203.234:8080,ID,Unknown
http://103.156.17.12:8818,ID,Unknown
http://103.51.205.117:8090,ID,Unknown
http://103.156.17.157:8818,ID,Unknown
http://121.101.130.136:8080,ID,Unknown
http://103.154.230.104:8090,ID,Unknown
http://103.154.230.74:8090,ID,Unknown
http://103.156.248.53:8080,ID,Unknown
http://203.175.103.201:8080,ID,Unknown
http://103.154.92.74:8080,ID,Unknown
http://103.162.221.165:3125,ID,Unknown
http://103.172.121.53:8080,ID,Unknown
http://203.190.117.135:8123,ID,Unknown
http://203.190.117.224:8123,ID,Unknown
http://163.223.172.27:3125,ID,Unknown
http://103.139.138.194:3128,ID,Balige
http://103.190.170.130:7777,ID,Unknown
http://43.252.107.12:7777,ID,Unknown
http://103.85.53.56:7777,ID,Unknown
http://112.109.19.10:7777,ID,Unknown
http://103.154.230.118:8090,ID,Unknown
http://160.25.56.58:3125,ID,Bandung
http://163.61.55.173:1111,ID,Unknown
http://113.192.12.73:3129,ID,Unknown
http://103.76.107.23:8181,ID,Unknown
http://103.156.15.210:1111,ID,Unknown
http://103.46.11.154:8080,ID,Unknown
http://202.151.12.237:8080,ID,Unknown
http://103.85.53.77:8080,ID,Unknown
http://165.99.56.26:8080,ID,Unknown
http://36.64.157.154:8080,ID,Unknown
http://150.107.244.228:8080,ID,Unknown
http://122.248.45.54:8080,ID,Unknown
http://163.47.25.14:8080,ID,Unknown
http://180.253.177.141:8080,ID,Unknown
http://103.147.247.193:8080,ID,Unknown
http://103.87.202.19:8181,ID,Unknown
http://160.187.174.114:8080,ID,Unknown
http://101.255.151.245:8080,ID,Unknown
http://101.255.211.90:8080,ID,Bekasi
http://121.101.133.20:8090,ID,Unknown
http://103.242.106.42:3125,ID,Unknown
http://103.183.19.34:3128,ID,Karet Kuningan
socks4://103.189.235.233:1080,ID,
http://103.124.136.251:8080,ID,Kebumen Satu
http://103.122.65.242:8080,ID,
http://103.155.167.82:8082,ID,
socks4://202.162.212.164:4153,ID,Duren Tiga
